n_cyanos,co2,light,SucRatio,Nsample,a,mu,tau,a0
262, 73.57885953177257, 0.36789360869565213, 0.451505016722408, 13123, 5.033992853368872, 5.483011087981145, 0.5524664637376515, 0.9999999999999999
610, 74.58219397993311, 0.48160586956521734, 0.9698996655518395, 12474, 1.0184058150216706, 1.830727293657415, 0.1564576215214766, 0.9999999999999999
118, 33.11103678929766, 0.6254184347826087, 0.9096989966555185, 8867, 2.5691591140138237, 3.3306616800870112, 0.4125406890160194, 0.9999999999999999
159, 8.02767558528428, 0.5752512608695651, 0.13712374581939799, 16494, 1.8373405735717037, 3.3715701837801215, 0.26079834891492837, 0.9999999999999999
957, 38.79659866220736, 0.9397993913043479, 0.23411371237458192, 10267, 0.9992679392882291, 2.059302793635216, 0.09861861355851005, 0.9999999999999999
82, 25.41880602006689, 0.19732521739130435, 0.4615384615384615, 18628, 5.394049142753422, 5.7580122108913905, 0.5647347115149747, 0.9999999999999999
179, 84.94998327759197, 0.8394650434782609, 0.7558528428093645, 10752, 5.316784865688392, 5.364228189074155, 0.6498331721226847, 0.9999999999999999
847, 77.92664214046822, 0.7892978695652173, 0.8060200668896321, 9303, 0.882393014043612, 1.6917340615503547, 0.11159756970934254, 0.9939114332726758
960, 81.60553511705686, 0.5919736521739131, 0.4080267558528428, 17102, 1.6236264657651338, 2.8722172632171414, 0.2410718412646422, 0.9999999999999999
272, 10.368789297658862, 0.3411377826086956, 0.7391304347826086, 8079, 0.4095657700995103, 1.6894822347129632, 0.057896972996081694, 0.980179611365199
519, 29.766588628762538, 0.5083616956521739, 0.3879598662207358, 16770, 1.0099299746943868, 2.1039920417999047, 0.13545486536131224, 0.9999999999999999
663, 18.729909698996654, 0.5986626086956522, 0.6956521739130435, 10459, 0.3751006785125829, 1.8343788326520851, 0.04343679510707894, 0.9733489018154866
78, 39.79993311036789, 0.7224083043478261, 0.31438127090301005, 6977, 11.843936113559577, 10.6448301357194, 0.9017866346388647, 0.9999999999999999
870, 61.20440133779264, 0.4715724347826087, 0.45484949832775917, 11520, 1.1659293470055971, 2.259358877136724, 0.15847471271414454, 0.9999999999999999
239, 8.02767558528428, 0.3411377826086956, 0.8494983277591973, 13834, 0.3716835397250792, 1.7905203254172775, 0.04332926518152717, 0.9714430428888865
626, 94.64888294314382, 0.2909706086956521, 0.862876254180602, 14047, 1.5710694587168976, 2.518523129272226, 0.24540766694355315, 0.9999999999999999
686, 69.56552173913043, 0.1705693913043478, 0.32441471571906355, 1818, 2.136428732693048, 3.5421151098215486, 0.30999606446801686, 0.9999999999999999
42, 16.388795986622075, 0.7692309999999999, 0.5785953177257526, 2121, 5.599333354692231, 5.750183826520536, 0.7046129381939502, 0.9999999999999999
924, 68.89663210702341, 0.20401417391304347, 0.4180602006688963, 4126, 1.3197670814862386, 2.516511143909387, 0.19807227969623986, 0.9999999999999999
977, 75.91997324414716, 0.662207695652174, 0.9665551839464883, 9596, 0.6058547331136356, 1.4523628268397448, 0.0443318391207843, 0.9582270665089967
319, 77.59219732441471, 0.7658865217391304, 0.5117056856187291, 1689, 3.936609319963374, 4.6168983342703, 0.4584144801003289, 0.9999999999999999
813, 20.067688963210703, 0.14715804347826086, 0.8193979933110368, 12799, 0.27601237999052136, 1.7969355792823245, 0.04657763254622355, 0.9860004007286584
149, 46.82327424749163, 0.15050252173913045, 0.431438127090301, 8956, 5.72891012475289, 6.05959473014594, 0.5580000043045804, 0.9999999999999999
12, 10.03434448160535, 0.6521742608695652, 0.5451505016722408, 1237, 13.096267139364548, 11.202044207778448, 1.0502704502713403, 0.9999999999999999
967, 63.87995986622073, 0.515050652173913, 0.8528428093645485, 797, 0.5904499799125453, 1.442263907094281, 0.011993168762275243, 0.9391234602731842
366, 64.54884949832777, 0.2207365652173913, 0.4214046822742475, 4414, 3.2722296643500215, 4.18434144366235, 0.39774902295588516, 0.9999999999999999
376, 23.077692307692306, 0.27759269565217387, 0.705685618729097, 13634, 0.6722938022028535, 1.6207762793813432, 0.04959417926607105, 0.9554898442434404
162, 56.187729096989955, 0.11371326086956521, 0.17725752508361203, 16490, 10.792987378022197, 10.220109639549161, 0.8253469819585769, 0.9999999999999999
823, 92.97665886287626, 0.2541813478260869, 0.822742474916388, 10498, 1.0854556051183604, 1.986381695948504, 0.18095455606963806, 0.9999999999999999
536, 91.97332441471572, 0.6488297826086957, 0.5384615384615384, 891, 2.564665647413554, 3.633038107695147, 0.3436843820663387, 0.9999999999999999
867, 43.478826086956516, 0.36454913043478254, 0.3879598662207358, 17735, 0.8664398869072033, 2.0251196210704214, 0.1371092955187816, 0.9999999999999999
496, 65.5521839464883, 0.6254184347826087, 0.15384615384615385, 13901, 4.379620493233844, 5.3511112326736265, 0.47577284302072254, 0.9999999999999999
